Village,Household ID,Day,3:00 AM,3:30 AM,4:00 AM,4:30 AM,5:00 AM,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM,2:30 AM
Fasi,17,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Showering,Breakfast,Breakfast,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Cooking,Dinner,Dinner,Dinner,Showering,Showering,Mobile devices (work),Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,Getting dressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanga,2,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Walking (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Walking (home),Walking (home),Cooking,Cooking,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Showering,Showering,Mobile devices (work),Reading,Reading,Reading,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Showering,Breakfast,,,,,,,,,,,,,,,,,,,,,Tidy up,Laundry,Dinner,,,,,,,,Listen to music/radio,Listen to music/radio,,,,,,
Fangaloto,7,Wednesday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Feeding animals,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Feeding animals,Cooking,Cooking,Cooking,Dinner,Family devotion,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Listen to music/radio,Listen to music/radio,Listen to music/radio,Driving (drop kids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangaloto,8,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Getting dressed,Breakfast,Breakfast,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Rest,Rest,Rest,Showering,Showering,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Showering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangaloto,6,Thursday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Home,Rest,Rest,Rest,Cooking,Cooking,Dinner,Dinner,Washing Dishes,Tidy up,Reading,Mobile devices (work),Mobile devices (work),Mobile devices (work),Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,Tidy up,Tidy up,,,,,,,,,,,,,,
Houmakelikao,42,Thursday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (pick up kids),Driving (home),Tidy up,Laundry,Cooking,Dinner,Showering (kids),Helping siblings (Homework),Helping siblings (Homework),"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanga,3,Monday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Driving (gym),Home,Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (work),Driving (gym),Driving (gym),Driving (gym),Driving (gym),"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,Driving (gym),,Getting dressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fasi,15,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Getting dressed,Driving (work),Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Home,Showering,Cooking,Dinner,"Mobile devises (browsing, social media)","Mobile devises (browsing, social media)",Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
,,,,,,,,,,,,Showering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuaamotu,21,Friday,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Woke up,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Driving (home),Driving (farm),Driving (farm),Driving (farm),Driving (farm),Showering,Dinner,"TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)","TV (TV, movies)"
